cik,ni,ocf,rev,cogs,at,at_prev,se,fyear,ticker,tacc,gpoa,sic,sin_type,sin_core,sin_broad
1750,72900000.0,139800000.0,,,2155900000.0,2189300000.0,966200000.0,2013,AIR,-0.0305577125108482,,3720.0,none,0,0
1800,2576000000.0,3324000000.0,,,42937000000.0,67235000000.0,25171000000.0,2013,ABT,-0.0111251580278128,,2834.0,none,0,0
2098,4002905.0,6475466.0,89576777.0,,68078979.0,67827816.0,35005245.0,2013,ACU,-0.0364534957162707,,3420.0,none,0,0
2186,1142000.0,1990000.0,,,34023000.0,33960000.0,31420000.0,2013,BKTI,-0.0249705535924617,,3663.0,none,0,0
2488,-83000000.0,-148000000.0,,,4337000000.0,4000000000.0,544000000.0,2013,AMD,0.01625,,3674.0,none,0,0
2809,,,,,4959359000.0,5256119000.0,,2013,AEMRF,,,1040.0,none,0,0
2969,994200000.0,,,,17915200000.0,17393100000.0,7264000000.0,2013,APD,,,2810.0,none,0,0
3197,6557000.0,24181000.0,,,349210000.0,94104000.0,170406000.0,2013,CECO,-0.1872821559126073,,3564.0,none,0,0
3453,53700000.0,,,,1248300000.0,1174300000.0,338200000.0,2013,MATX,,,4400.0,none,0,0
3499,56915000.0,73883000.0,,,1457724000.0,1481810000.0,333581000.0,2013,ALX,-0.0114508607716238,,6798.0,none,0,0
3545,19646000.0,13426000.0,101661000.0,79987000.0,193361000.0,176052000.0,140234000.0,2013,ALCO,0.0353304705427941,0.1231113534637493,100.0,none,0,0
3570,-507922000.0,-52436000.0,267213000.0,,9673237000.0,4639085000.0,179682000.0,2013,LNG,-0.0981844480107607,,4924.0,none,0,0
4127,278100000.0,,,,2435400000.0,2151107000.0,2212200000.0,2013,SWKS,,,3674.0,none,0,0
4281,-2285000000.0,1578000000.0,,,35742000000.0,40179000000.0,10593000000.0,2013,HWM,-0.0961447522337539,,3350.0,none,0,0
4457,342391000.0,733966000.0,2835252000.0,,5874109000.0,5219305000.0,1494422000.0,2013,UHAL-B,-0.0750243566911686,,7510.0,none,0,0
4904,1480000000.0,4096200000.0,14813500000.0,,56321000000.0,54367000000.0,16085000000.0,2013,AEP,-0.0481211028749057,,4911.0,none,0,0
4962,5359000000.0,,,,153000000000.0,153140000000.0,19496000000.0,2013,AXP,,,6199.0,none,0,0
4977,3158000000.0,10547000000.0,23939000000.0,,121307000000.0,121307000000.0,14620000000.0,2013,AFL,-0.0609115714674338,,6321.0,none,0,0
5272,9085000000.0,5865000000.0,68874000000.0,,541329000000.0,548633000000.0,100470000000.0,2013,AIG,0.0058691329176334,,6331.0,none,0,0
5513,847000000.0,1031500000.0,10368600000.0,,59403600000.0,62236100000.0,8639900000.0,2013,UNMA,-0.0029645173781776,,6321.0,none,0,0
5981,34449000.0,-6214000.0,,209674000.0,447443000.0,399890000.0,257953000.0,2013,AVD,0.1016854635024631,,2870.0,none,0,0
6176,12437000.0,37774000.0,,,502673000.0,533179000.0,234995000.0,2013,AP,-0.0475206262812301,,3561.0,none,0,0
6201,-1834000000.0,675000000.0,,,42278000000.0,23510000000.0,-2731000000.0,2013,AAL,-0.1067205444491705,,4512.0,none,0,0
6207,-2939000.0,5495000.0,62197000.0,,191626000.0,200318000.0,79161000.0,2013,AXR,-0.0421030561407362,,6552.0,none,0,0
6281,673487000.0,912345000.0,,,6399468000.0,5716808000.0,4795635000.0,2013,ADI,-0.0417817075542855,,3674.0,none,0,0
6845,27986000.0,,52544000.0,,545413000.0,523681000.0,347183000.0,2013,APOG,,,3231.0,none,0,0
6951,256000000.0,623000000.0,,,12199000000.0,11714000000.0,7241000000.0,2013,AMAT,-0.0313300324398156,,3674.0,none,0,0
6955,30048000.0,193789000.0,,,2163865000.0,2025456000.0,,2013,EPAC,-0.0808415487672899,,3590.0,none,0,0
7084,1342000000.0,5226000000.0,89804000000.0,85915000000.0,43752000000.0,45136000000.0,,2013,ADM,-0.086051045728465,0.0861618220489188,2070.0,none,0,0
7431,94100000.0,213700000.0,,,2722000000.0,2854300000.0,673200000.0,2013,AWI,-0.0419016921837228,,3089.0,none,0,0
7536,399420000.0,450691000.0,,18566356000.0,12060883000.0,10785687000.0,4180232000.0,2013,ARW,-0.0047536146747073,,5065.0,none,0,0
7623,1551376.0,-2344.0,,,32767621.0,31228676.0,18294145.0,2013,ARTW,0.0497529898481767,,3523.0,none,0,0
7789,188692000.0,477958000.0,958642000.0,,24226920000.0,23487735000.0,2891290000.0,2013,ASB-PF,-0.0123156191944433,,6022.0,none,0,0
8063,27266000.0,49549000.0,,,491271000.0,211989000.0,171509000.0,2013,ATROB,-0.1051139445914646,,3728.0,none,0,0
8146,3212000.0,-4462000.0,,,77964000.0,79913000.0,66614000.0,2013,ALOT,0.0960294320073079,,3577.0,none,0,0
8177,11022000.0,13020000.0,165369000.0,,319381000.0,320177000.0,100927000.0,2013,AAME,-0.0062402983349834,,6311.0,none,0,0
8504,1290453.0,3112821.0,,,69991477.0,37049272.0,28910601.0,2013,UAVS,-0.0491876871426785,,3721.0,none,0,0
8670,1405800000.0,1577200000.0,9442000000.0,,38321800000.0,33330000000.0,6258500000.0,2013,ADP,-0.0051425142514251,,7374.0,none,0,0
8818,,319600000.0,,,4610600000.0,5105300000.0,1468100000.0,2013,AVY,,,2670.0,none,0,0
8858,545604000.0,237418000.0,,24273923000.0,11485298000.0,10549530000.0,4628416000.0,2013,AVT,0.0292132445710851,,5065.0,none,0,0
8947,59597000.0,107275000.0,,,989175461.0,674464532.0,374496520.0,2013,AZZ,-0.0706901515764212,,3470.0,none,0,0
9092,24617000.0,34818000.0,,,316058000.0,290453000.0,196563000.0,2013,BMI,-0.0351210006438218,,3824.0,none,0,0
9326,44874000.0,55692000.0,337173000.0,239752000.0,376872000.0,312545000.0,331358000.0,2013,BCPC,-0.0346126157833272,0.3117023148666592,2800.0,none,0,0
9389,,839000000.0,,,7820400000.0,7520700000.0,1224600000.0,2013,BALL,,,3411.0,none,0,0
10048,,,24608000.0,,65929000.0,67516000.0,19990000.0,2013,BRN,,,1311.0,none,0,0
10329,5096000.0,10640000.0,,,225849000.0,227180000.0,157409000.0,2013,BSET,-0.0244035566511136,,2511.0,none,0,0
10456,2012000000.0,3198000000.0,,,25224000000.0,20390000000.0,8463000000.0,2013,BAX,-0.0581657675331044,,3841.0,none,0,0
10795,1293000000.0,,,,12035000000.0,11629437000.0,5078000000.0,2013,BDX,,,3841.0,none,0,0
11544,499925000.0,819798000.0,6408534000.0,,20551796000.0,20155896000.0,4336035000.0,2013,WRB-PH,-0.0158699469376107,,6331.0,none,0,0
12040,1977000.0,6744000.0,,,51732000.0,49749000.0,21228000.0,2013,BDL,-0.0958210215280709,,5812.0,none,0,0
12208,77790000.0,169136000.0,,,3388790000.0,3443503000.0,2186722000.0,2013,BIO-B,-0.0265270568952604,,3826.0,none,0,0
12239,-17965000.0,,27000.0,3000.0,69853000.0,4756000.0,48302000.0,2013,DOMH,,0.0050462573591253,6211.0,none,0,0
12659,475157000.0,809581000.0,3024295000.0,1572377000.0,3515287000.0,3932496000.0,686759000.0,2013,HRB,-0.0850411545237426,0.3692102929030315,7200.0,none,0,0
12927,4585000000.0,8179000000.0,86623000000.0,73268000000.0,92663000000.0,88896000000.0,14875000000.0,2013,BA-PA,-0.0404292656587473,0.150231731461483,3721.0,none,0,0
13156,563317.0,2375798.0,,,21227355.0,22404946.0,1279243.0,2013,GLXZ,-0.0808964681280642,,7900.0,none,0,0
14177,2916000.0,3760000.0,129003000.0,,63390000.0,61942000.0,33643000.0,2013,BRID,-0.0136256498014271,,2013.0,none,0,0
14272,2563000000.0,3545000000.0,,,38592000000.0,35897000000.0,15154000000.0,2013,CELG-RI,-0.0273560464662785,,2834.0,none,0,0
14693,659000000.0,,,,3993000000.0,3832300000.0,1889000000.0,2013,BF-A,,,2080.0,alcohol,1,1
14707,38073000.0,104032000.0,132596000.0,,1146340000.0,1173973000.0,476699000.0,2013,CAL,-0.0561844267287237,,3140.0,none,0,0
14846,,766000.0,32003000.0,,546893000.0,432343000.0,136265000.0,2013,BRT,,,6798.0,none,0,0
